Geneid,Control_1,Control_2,Control_3,Ab42_1,Ab42_2,Ab42_3
FBti0059933,0,0,0,0,0,0
FBgn0035529,2406,2084,2300,1996,2929,2025
FBgn0052311,1841,1860,2704,4184,3643,3412
FBgn0266593,0,0,0,3,0,4
FBgn0036176,0,0,0,0,0,0
FBti0020025,12,7,18,7,12,16
FBgn0052075,1671,1374,1362,1197,1724,1257
FBgn0036063,401,415,375,424,574,441
FBgn0046296,375,301,291,302,341,327
FBgn0035151,798,882,761,851,1435,904
FBgn0036070,35,1,0,109,22,108
FBgn0035987,6595,5251,4417,3842,5977,4816
FBti0062519,0,0,0,0,0,0
FBgn0086611,0,0,0,0,0,0
FBgn0013469,323,162,245,296,287,305
FBgn0266989,0,1,0,0,3,0
FBgn0267544,1,0,0,0,1,1
FBgn0035779,1978,2605,2371,1428,1540,2122
FBgn0053286,23,0,1,374,122,322
FBti0061276,2,3,2,2,0,2
FBti0059952,2,1,0,3,0,0
FBgn0020644,0,0,0,0,0,0
FBgn0052368,72,337,433,207,143,298
FBtr0304443_df_nrg,0,0,0,0,0,0
FBgn0036997,656,277,812,1285,1091,810
FBgn0041171,13009,10609,9293,10710,14203,10513
FBgn0265886,1,0,0,0,0,1
FBgn0267602,2,0,0,2,1,1
FBgn0036619,1914,1093,1609,2553,1835,3590
FBti0063877,0,0,0,0,0,0
FBgn0036528,19,0,0,33,9,54
FBgn0025355,0,0,0,0,0,0
FBgn0265752,0,0,0,13,3,18
FBgn0015829,986,844,750,739,980,785
FBgn0266967,5,7,11,9,7,14
FBti0061007,0,0,0,0,0,0
FBgn0265724,0,0,0,0,0,0
FBti0020166,0,1,1,3,1,1
FBgn0036345,32,0,0,183,65,177
FBgn0035625,828,684,1101,1132,1494,1648
FBti0061064,0,0,0,0,0,0
FBgn0259243,5990,4515,4973,4963,6483,5485
FBgn0036510,2093,1795,1549,1810,2592,1928
FBgn0001179,2035,1472,1306,1493,2038,1697
FBgn0023076,610,537,690,1028,608,913
FBti0061450,0,0,0,0,0,0
FBgn0053276,234,256,191,196,304,195
FBgn0016036,105,53,77,67,76,68
FBgn0054002,89,3,1,176,74,238
FBgn0085458,0,0,0,0,0,1
FBgn0264000,65,61,140,104,95,131
FBgn0061515,10020,9180,7448,8332,12293,8563
FBgn0065051,0,0,2,2,0,0
FBgn0000414,3311,2341,2580,3223,4139,3054
FBgn0065081,0,0,0,0,0,0
FBgn0264699,87,38,97,80,93,114
FBgn0036814,4979,2911,3459,4112,5253,3528
FBgn0052104,1113,926,931,1057,1497,1034
FBgn0259916,1321,1124,1187,787,1334,920
FBgn0035929,653,265,589,561,545,662
FBti0061313,0,0,0,0,0,0
FBgn0040793,6167,5475,5565,4041,5425,5202
FBgn0061492,2061,1731,1687,1503,1942,1878
FBgn0262592,24,0,0,72,37,89
FBti0060374,0,0,0,0,2,0
FBtr0304433_df_nrg,0,0,0,0,0,0
FBti0059945,0,1,0,0,0,0
FBgn0065058,7,8,11,5,4,2
FBti0061065,1,0,0,0,0,0
FBti0020253,0,0,0,0,0,0
FBgn0052482,0,0,0,0,0,0
FBgn0263239,34,28,70,84,54,60
FBgn0037022,1,4,5,1,3,2
FBgn0261640,0,0,0,0,0,0
FBgn0035196,199,0,4,1120,310,819
FBgn0004588,0,1,0,0,0,0
FBgn0267550,0,0,0,6,0,1
FBgn0037039,18,0,0,33,9,42
FBgn0266983,6,0,0,10,2,8
FBgn0286938,9,2,19,11,15,17
FBgn0035911,2841,2762,2340,2266,2706,2404
FBgn0020655,5148,4837,3864,3840,4444,3887
FBgn0267249,0,0,0,0,0,0
FBgn0250836,2096,790,1548,3116,2110,4754
FBgn0083976,0,0,0,0,0,0
FBti0020068,0,0,0,2,0,0
FBgn0035169,2230,1793,1589,1399,2291,1694
FBgn0266676,27,14,18,21,15,34
FBgn0036204,16,1,3,120,46,90
FBgn0266687,7,7,7,8,4,8
FBgn0036656,12,4,7,9,10,5
FBgn0260027,195,129,175,146,178,171
FBgn0036593,0,0,0,0,0,0
FBgn0266437,6,3,7,23,11,22
FBti0063194,0,0,0,0,0,0
FBgn0260968,2,3,6,4,9,14
FBgn0052176,2107,1760,1701,1646,2742,1714
FBti0020131,0,0,4,0,3,3
FBti0062570,0,2,2,5,1,3
FBgn0052226,899,593,670,591,694,623
FBgn0035153,2730,2349,1992,2085,2970,1980
FBgn0036433,1373,1064,1370,1590,1783,1761
FBgn0264724,0,0,0,0,4,0
FBgn0025820,720,637,527,523,736,579
FBgn0085271,426,366,326,284,330,379
FBgn0035833,2201,1355,1583,1688,1971,1514
FBgn0036105,599,668,621,498,796,594
FBti0020146,0,0,0,0,0,0
FBgn0036825,44792,51844,39521,35570,44579,42677
FBti0062583,1,0,0,0,1,0
FBgn0082973,0,0,1,1,0,1
FBgn0264479,40,12,38,13,43,42
FBti0061309,0,0,0,0,0,0
FBgn0036229,0,0,0,7,0,0
FBgn0035189,6708,3978,10574,7538,7672,7779
FBgn0266780,0,0,0,8,3,24
FBgn0035325,41,67,63,114,70,131
FBgn0014143,11,12,7,17,15,30
FBgn0036918,2994,3008,2423,2197,2877,2601
FBgn0261788,2154,1382,2030,2513,2472,3007
FBgn0052436,754,59,32,5034,1853,3875
FBgn0036465,33,0,0,213,56,220
FBgn0014848,0,0,0,0,0,0
FBgn0263106,7636,7659,7044,8135,9916,8610
FBgn0035641,3000,2690,2183,2026,4029,2445
FBti0062573,0,0,2,1,3,1
FBgn0003486,315,221,212,76,62,136
FBgn0052442,302,200,243,176,325,227
FBgn0002842,12,0,1,90,21,93
FBgn0035630,25272,22906,19090,16295,21893,19327
FBti0062700,0,2,0,0,0,0
FBgn0061469,3706,2513,2576,3438,3936,3284
FBgn0024542,1249,1395,1121,1180,1699,1202
FBgn0053229,2945,2680,2360,2432,3590,3152
FBgn0036937,8,11,14,7,18,10
FBgn0035645,1,0,0,14,11,9
FBgn0035558,3874,3533,3154,3154,4932,3253
FBti0062643,1,0,0,0,0,1
FBgn0085599,52,49,33,20,38,21
FBgn0036757,23,26,23,44,41,51
FBgn0052846,26,2,7,229,89,205
FBgn0036638,0,2,0,4,2,1
FBgn0054001,256,263,257,212,305,256
FBgn0040308,1559,1351,1311,1224,1545,1490
FBgn0037086,107,3,2,724,189,483
FBgn0017430,1125,1098,999,850,1326,958
FBgn0266595,0,0,0,10,2,4
FBgn0266582,3914,3894,3882,3438,3972,4090
FBti0063902,0,0,0,0,0,0
FBgn0260653,122,161,128,122,81,169
FBti0062634,4,2,5,5,0,4
FBgn0043550,3,1,0,0,0,0
FBgn0035165,7452,5854,6147,6460,7396,6865
FBgn0036470,15,7,27,28,32,35
FBgn0039977,3714,2746,3363,2297,4210,3329
FBti0060985,0,0,0,0,0,0
FBti0061421,0,0,1,0,1,2
FBgn0264551,0,0,0,3,0,0
FBtr0304442_df_nrg,0,0,0,0,0,0
FBgn0260943,1161,905,1969,1615,1872,2188
FBgn0015946,0,0,2,0,2,4
FBgn0267323,2,0,2,1,2,3
FBti0059921,0,0,0,0,0,0
FBgn0036835,390,260,408,366,413,384
FBgn0037001,7849,7091,7747,6465,6462,7748
FBti0148145,0,0,0,0,0,0
FBgn0041721,453,504,271,297,504,346
FBgn0036259,22,12,34,38,23,52
FBgn0036237,2958,2818,2374,2342,3275,2245
FBgn0037069,4,4,5,13,8,9
FBti0063942,0,0,0,0,0,2
FBgn0036109,0,0,0,6,3,3
FBgn0036335,1150,1094,992,1064,1506,1326
FBgn0052354,73,65,135,144,114,139
FBgn0262482,13,0,0,39,14,28
FBti0063937,7,4,4,2,3,9
FBgn0035931,2,1,2,3,0,3
FBgn0004244,472,363,810,759,740,898
FBgn0036177,0,0,0,0,0,0
FBgn0004429,1254,1270,1999,1053,1547,1538
FBti0060386,6,2,6,6,5,7
FBti0063440,0,0,0,0,2,2
FBgn0267348,2370,2114,2479,1969,1422,1814
FBgn0004380,1203,1037,1147,1251,1589,1293
FBgn0262057,904,610,1175,1307,1059,1424
FBgn0086900,0,0,0,0,0,0
FBgn0265742,0,0,0,0,0,3
FBgn0028980,1458,1418,1128,1317,2010,1528
FBgn0020294,437,286,337,422,257,446
FBti0059878,0,0,1,0,0,0
FBgn0265759,12,9,18,11,15,21
FBgn0036681,13,3,6,7,1,9
FBgn0035647,2,0,0,33,7,30
FBgn0267219,5,3,7,5,5,4
FBti0020255,0,0,0,0,1,0
FBti0020244,7,6,11,4,4,12
FBgn0035335,914,905,801,577,925,752
FBgn0025558,6,6,5,5,13,7
FBgn0263603,4251,3929,3387,3559,3960,3754
FBgn0036571,1503,972,1019,1008,1346,1262
FBgn0036972,3,2,5,8,1,9
FBgn0035290,1099,971,796,972,1527,1817
FBgn0035240,0,0,0,0,0,0
FBti0061950,0,0,1,4,3,2
FBgn0087039,1408,1173,1128,950,1810,1083
FBgn0037207,2400,2335,2117,1937,3200,1771
FBgn0015321,8554,7475,6142,7060,10284,7185
FBgn0262109,52497,37752,38755,43331,56042,60975
FBgn0085457,1,0,0,0,0,0
FBti0063838,0,0,0,0,0,0
FBti0063806,0,0,0,0,0,0
FBti0061362,0,0,0,0,0,0
FBgn0022936,1363,1260,1032,1074,1609,1120
FBgn0263476,0,0,0,0,0,3
FBgn0266589,2,0,0,7,4,6
FBgn0035518,1401,1339,1206,1269,1505,1443
FBti0062185,2,0,0,0,0,1
FBti0060736,0,0,0,0,0,0
FBti0061554,0,0,0,0,0,0
FBgn0035155,404,349,330,357,462,373
FBgn0037197,7,0,1,13,6,17
FBtr0304187_df_nrg,0,0,0,0,0,0
FBgn0036194,2041,1889,1802,1711,2392,2006
FBgn0041622,0,0,0,0,0,0
FBti0060762,0,0,0,0,0,0
FBgn0015919,174,181,260,292,211,249
FBgn0040823,726,473,563,709,1050,877
FBgn0036121,669,470,445,416,532,600
FBgn0052201,80,25,13,72,46,122
FBti0062670,0,0,0,0,0,0
FBgn0262898,12,2,8,17,14,14
FBti0059780,0,0,0,0,0,0
FBgn0263495,5,0,0,5,2,3
FBti0060268,1,0,0,0,0,0
FBgn0052079,0,7,6,10,5,18
FBgn0036826,1001,1016,812,740,1160,825
FBgn0005536,6457,5103,5612,6637,7899,6210
FBgn0035427,27,25,37,31,31,27
FBgn0036624,2781,2382,2273,2503,3900,2385
FBgn0036973,808,674,604,558,775,703
FBgn0028500,3668,2712,2724,2949,3511,3091
FBgn0265722,0,0,0,0,4,0
FBgn0265934,0,0,0,2,0,1
FBti0063960,0,0,0,0,0,0
FBgn0004427,11458,8855,4106,8788,8586,17975
FBti0060773,0,0,0,2,2,1
FBgn0035795,0,0,0,0,0,0
FBgn0053985,7,2,0,0,3,3
FBti0063246,0,0,0,0,0,0
FBti0063918,0,0,0,0,0,0
FBgn0058470,263,204,316,271,328,323
FBti0061767,0,1,0,1,0,0
FBgn0260397,2395,1868,1823,1953,2636,1824
FBgn0035293,604,452,607,1095,1032,967
FBgn0285951,993,983,872,795,1002,832
FBgn0267665,14,6,2,6,11,9
FBgn0035710,2265,1480,1975,2209,3070,3052
FBgn0045823,16200,12662,16008,13918,17130,17195
FBgn0082994,8,4,2,16,11,8
FBgn0004556,2059,1816,1847,1566,2223,1702
FBgn0264567,35,1,0,106,53,98
FBgn0036082,106,0,0,659,238,549
FBgn0035211,1099,914,755,898,1194,949
FBgn0036302,1867,1784,1661,1968,2394,1878
FBgn0015239,2976,2373,2403,2496,3173,2566
FBgn0036330,855,680,596,359,493,524
FBgn0265897,6,0,0,14,13,10
FBgn0011279,46,13,20,35,49,41
FBgn0250816,5760,5218,5803,4089,8054,5158
FBgn0040636,135,136,224,191,153,163
FBgn0036771,571,566,454,564,690,640
FBgn0264478,22,19,17,7,12,7
FBti0061010,4,2,7,3,8,10
FBgn0011016,6657,5690,5218,4619,5961,5523
FBgn0265719,29,22,32,28,18,49
FBgn0036991,1599,1512,1341,1556,2589,1427
FBgn0267553,0,0,0,0,0,0
FBti0060208,0,0,1,1,1,0
FBgn0035772,4527,3262,4130,3341,3949,4038
FBgn0037171,9,2,7,19,11,21
FBgn0040837,197,92,122,326,207,233
FBti0020037,0,0,1,0,1,3
FBgn0035321,2714,2590,2537,2656,3108,2813
FBti0020128,0,2,1,2,0,4
FBgn0036221,25,0,0,223,64,166
FBgn0035227,3159,2434,2737,3289,3222,3616
FBgn0052298,0,0,0,0,0,0
FBgn0052273,0,0,0,0,1,0
FBgn0265756,0,0,0,1,3,1
FBgn0014163,8737,6790,8485,7582,12256,8545
FBgn0052198,30,39,5,5,10,14
FBgn0262714,2113,1444,1453,1710,1984,1624
FBgn0054025,5,2,4,15,7,13
FBgn0041775,94175,86744,62616,62066,97054,75274
FBti0063248,1,0,2,0,0,0
FBgn0035593,1560,1667,1298,1440,1927,1765
FBgn0265738,0,0,0,0,0,0
FBgn0086906,4126,3602,6613,7638,10135,6752
FBgn0261799,14,24,29,9,16,13
FBgn0027790,328,279,294,296,261,358
FBgn0001259,14,33,46,42,41,54
FBgn0086062,8,3,1,2,3,0
FBgn0035718,275,484,161,130,138,201
FBgn0265732,0,0,0,8,0,4
FBgn0264553,13,2,7,27,16,37
FBgn0261797,7188,4625,5271,4897,4948,5453
FBgn0266724,583,552,525,407,581,587
FBgn0035445,27,38,49,77,101,63
FBgn0036934,119,80,133,152,127,194
FBgn0036858,0,0,0,0,0,0
FBgn0035824,547,518,425,427,531,483
FBgn0025702,621,470,809,1717,1101,1386
FBgn0036563,62,50,144,195,151,155
FBti0061955,1,1,1,0,0,1
FBti0063936,0,0,0,0,0,0
FBgn0052128,0,0,0,0,0,0
FBgn0035907,1749,1719,1322,1373,1996,1520
FBti0062702,0,0,0,0,0,0
FBgn0036812,1077,1040,1202,1053,1573,956
FBgn0036162,148,1,1,784,276,651
FBgn0036987,642,611,437,465,640,570
FBgn0052170,148,154,212,321,327,285
FBgn0035648,6,3,3,21,4,13
FBgn0016756,11175,8412,8455,11571,12785,11143
FBgn0261933,2263,2618,1998,1591,2757,2115
FBgn0035469,685,653,596,660,864,733
FBgn0037107,147,108,185,168,157,263
FBgn0260026,79,40,68,145,69,108
FBgn0259481,3739,3139,3454,4238,4512,4111
FBgn0263247,0,0,0,0,0,0
FBgn0052191,264,230,346,240,215,326
FBti0064311,2,9,19,8,16,8
FBti0061555,0,0,0,0,1,0
FBgn0036984,118,118,158,209,172,176
FBgn0036516,2751,2392,1860,2337,2918,2629
FBti0062543,0,0,0,0,0,0
FBgn0063485,0,0,0,0,0,0
FBgn0035162,3976,3795,3619,3075,3700,3093
FBgn0266977,12,2,7,65,21,61
FBgn0035856,9,1,9,31,9,19
FBgn0262789,9,6,19,22,21,26
FBti0059644,0,0,0,0,0,0
FBgn0037115,58,0,0,314,118,212
FBgn0012034,25414,16705,34677,30824,26846,27426
FBti0063244,0,0,0,0,0,0
FBti0020149,0,1,0,0,0,1
FBgn0266782,0,0,0,0,4,6
FBgn0267916,0,0,0,0,0,1
FBgn0267548,1,0,1,5,0,3
FBgn0035857,62,0,0,404,140,324
FBgn0035568,80,0,1,480,186,417
FBgn0052133,3553,2007,2119,2594,3511,2461
FBgn0052179,661,620,552,579,919,679
FBgn0267620,1,0,0,6,2,5
FBgn0035528,2908,2116,2375,2286,2953,2814
FBgn0052214,0,0,1,1,0,0
FBgn0024236,6466,5114,5627,4895,7044,5194
FBgn0026259,12063,9278,9193,9643,10697,9818
FBti0062626,0,0,0,0,0,0
FBgn0037110,1677,1399,1405,1263,1814,1475
FBti0060222,0,0,0,0,0,0
FBgn0086916,15,3,11,97,22,103
FBti0059677,0,0,0,0,0,0
FBti0020058,1,0,0,2,5,6
FBgn0024804,5144,3922,4232,3162,4771,4323
FBtr0472766_df_nrg,0,0,0,0,0,0
FBti0062009,0,0,0,0,0,0
FBti0061009,0,1,3,3,0,4
FBgn0266117,4,3,4,7,8,5
FBgn0267454,15,9,11,14,27,27
RR47928_transposable_element,0,0,0,5,4,1
FBgn0024150,345,209,353,482,429,516
FBgn0036648,382,454,333,358,474,340
FBgn0035482,865,730,770,674,967,699
FBti0020207,0,0,0,0,0,0
FBgn0025725,5706,4595,4543,5588,4718,6000
FBti0020178,32,13,46,87,109,119
FBgn0027086,10699,8081,8238,7527,10551,9559
FBgn0266649,402,80,39,62,6,256
FBgn0028978,2278,2143,1908,2648,3024,2705
FBgn0011335,1254,1156,1041,933,1488,1032
FBgn0035145,4679,3865,3368,3901,4943,3770
FBgn0267247,0,0,0,0,2,1
FBti0062699,0,0,0,0,0,0
FBgn0035736,0,0,0,0,0,0
FBgn0035557,324,155,61,98,99,203
FBti0020036,0,0,0,0,0,0
FBgn0267237,16,6,20,16,7,11
FBti0062596,0,0,0,0,0,0
FBgn0036421,18,0,0,86,34,79
FBgn0053926,3107,2377,2965,1004,916,1082
FBgn0035631,5358,4835,4548,4359,5829,5151
FBgn0037165,5,5,10,10,13,22
FBgn0265900,10,1,0,6,1,2
FBgn0036144,4500,3469,3368,3612,4898,3913
FBgn0036195,0,6,2,17,5,7
FBgn0086077,0,0,0,0,0,0
FBgn0035543,1,2,6,3,4,4
FBgn0036323,71,39,60,39,31,51
FBgn0036406,577,513,439,426,636,441
FBgn0035785,2,1,6,13,7,6
FBgn0036978,178,108,92,94,45,82
FBti0060262,0,0,0,0,0,0
FBgn0035577,37,20,31,49,44,43
FBgn0267472,0,1,1,0,3,2
FBti0061956,0,1,0,0,1,2
FBgn0262519,16427,10726,10581,9681,11477,8904
FBgn0036599,1,0,0,0,0,0
FBgn0035141,739,685,591,628,939,632
FBgn0260233,0,0,0,0,0,0
FBgn0001257,1164,744,1172,1116,925,1549
FBgn0085289,0,1,4,2,6,5
FBgn0036832,17,2,0,58,10,58
FBgn0264469,0,0,0,0,0,0
FBgn0035231,297,210,248,827,416,688
FBti0059658,0,0,0,0,0,0
FBgn0266769,4,0,0,15,14,25
FBti0020237,0,0,0,0,0,0
FBti0061814,0,0,0,0,1,0
FBgn0035663,16,18,16,21,15,9
FBgn0263602,1994,1829,1515,1733,2464,1506
FBgn0042131,16,2,3,130,62,80
FBgn0013811,54,29,35,327,169,267
FBti0063925,1,0,0,1,0,0
FBgn0035914,231,153,245,280,229,297
FBti0063931,3,0,1,1,5,2
FBgn0265741,0,0,0,6,0,2
FBgn0265743,0,0,0,0,0,0
FBgn0036476,624,510,552,602,989,578
FBgn0047330,0,0,0,2,0,0
FBgn0035816,49,48,112,112,100,101
FBgn0085287,14,0,0,49,19,52
FBgn0086068,12,10,9,2,2,4
FBgn0266124,1365,1048,1112,1084,1454,1088
FBgn0261401,3,1,1,1,4,1
FBti0020011,0,0,3,0,1,1
FBgn0036762,11622,10116,10187,8901,9512,10250
FBgn0037137,11685,10090,10627,8354,10266,7470
FBgn0037026,1894,1704,1728,1899,2526,1639
FBti0063295,0,0,0,0,0,0
FBgn0036353,1600,1305,1069,1420,1720,1377
FBgn0011692,3569,3007,2426,3055,4767,2839
RR50515_transposable_element,1,0,0,0,2,1
FBgn0001316,15471,11349,11125,11054,12315,12293
FBgn0266986,0,0,0,0,0,0
FBgn0036448,7599,5639,5352,6086,7258,7265
FBgn0028415,7,0,0,6,0,11
FBti0060445,0,0,0,0,0,0
FBgn0053971,175,111,141,151,199,228
FBti0063934,0,0,0,0,0,0
FBgn0052137,1709,1397,1549,1966,1639,2088
FBgn0264272,312,229,302,301,258,311
FBgn0035693,64,13,15,426,128,333
FBgn0036341,2595,1953,1923,2233,2824,2005
FBgn0262984,8,0,0,37,11,28
FBgn0035697,1087,563,255,149,11,621
FBti0061248,0,0,1,0,0,0
FBgn0010408,18856,20869,17489,15167,19107,17445
FBti0020196,0,0,0,0,0,0
FBgn0266772,3,0,0,5,4,9
FBgn0035434,452,553,831,473,702,613
FBgn0035232,5991,4167,4683,5649,6366,5847
FBgn0036660,2271,2200,1792,1984,3342,1847
FBgn0036893,1018,1012,739,864,1308,893
FBgn0036584,6,7,8,5,10,14
FBgn0035258,4,0,2,4,2,4
FBgn0004569,254,230,258,2577,3298,3799
FBti0059922,0,0,0,0,0,0
FBgn0052847,45,1,1,192,73,159
FBgn0044028,39,20,22,34,39,44
FBgn0052360,0,1,0,0,1,1
FBgn0265748,4,0,0,5,1,8
FBgn0036218,74,0,3,464,165,428
FBti0063866,0,0,0,0,0,0
FBgn0027055,2821,2352,1959,2082,3066,2258
FBgn0052123,0,0,0,0,0,0
FBgn0261674,1280,874,1070,1084,1134,1169
FBgn0035152,467,418,364,466,569,598
FBgn0086082,2,4,6,4,5,1
FBti0061019,2,1,2,2,1,1
FBgn0036875,596,490,376,445,372,666
FBgn0036332,1112,1039,1107,1030,1632,1155
FBgn0266981,18,15,18,24,14,23
FBgn0000212,6072,5102,5476,6157,7754,5111
FBgn0052351,843,0,0,5587,1820,4367
FBtr0304280_df_nrg,0,0,0,0,0,0
FBgn0267540,0,0,0,0,0,0
FBgn0035997,5406,4321,3972,4683,6706,4075
FBgn0086069,2,4,3,0,2,4
FBgn0035986,2926,2199,2154,2364,3492,2533
FBgn0028379,121,7,7,605,179,469
FBgn0264696,0,0,0,0,0,0
FBti0061044,0,0,0,0,1,1
FBgn0052260,6,6,2,21,16,11
FBgn0267487,8215,7146,6202,7274,10764,6780
FBgn0035113,233,144,176,353,354,345
FBgn0052313,33,15,14,154,62,138
FBti0060998,3,0,0,0,0,1
FBtr0304379_df_nrg,0,0,0,0,0,0
FBgn0035823,161,4,0,818,301,714
RR50446_transposable_element,12,7,16,23,10,15
FBgn0036503,1,6,7,4,4,3
FBgn0052437,98,16,19,549,214,483
FBgn0026252,28744,22572,22588,21612,29690,21531
FBgn0035501,537,429,717,1167,757,932
FBgn0027547,4590,3702,4419,4272,5305,4643
FBgn0042118,0,0,0,0,0,0
FBgn0259701,67,0,0,388,115,301
FBgn0016070,42587,27606,28110,30867,53795,27788
FBgn0035673,2593,929,2127,2664,2763,3240
FBgn0036988,1482,1002,1213,1155,1474,1256
FBti0063330,0,0,0,0,0,0
FBgn0036138,0,1,4,3,0,5
FBgn0036463,69,57,76,116,92,96
FBgn0286893,0,0,0,0,0,0
FBgn0266932,1,0,0,2,3,4
FBti0020129,0,0,2,0,1,2
FBgn0266994,0,0,0,0,0,0
FBti0059894,2,0,0,0,1,1
FBgn0264748,116,88,98,106,129,188
FBti0020231,4,2,1,0,1,1
FBgn0035594,2,0,1,0,0,0
FBgn0036876,534,448,763,1015,909,1225
FBti0060270,0,0,0,0,0,0
FBgn0036967,3796,3293,3272,3481,5275,3341
FBgn0035143,74,2,0,666,200,524
FBgn0035852,83,1,8,654,205,462
FBgn0267295,1,1,0,3,1,3
FBgn0024177,7267,7423,6576,5297,9475,5874
FBgn0037085,17,13,8,16,15,14
FBgn0036940,11,2,8,23,13,19
FBti0061798,0,0,0,0,0,0
FBgn0004390,4104,3076,2970,3421,4741,3262
FBgn0035452,120,97,129,119,80,107
FBti0061320,0,0,0,0,0,0
FBgn0036489,1190,997,801,806,1217,965
FBti0059928,0,0,0,0,0,0
FBgn0037204,49,5,1,11,3,15
FBgn0001120,6487,5824,4779,4278,7559,4490
FBti0063849,0,0,0,0,0,0
FBgn0036945,2167,2296,2830,2583,1972,2272
FBgn0035976,1331,886,1493,2969,1820,2394
FBti0060982,0,3,1,0,0,0
FBgn0264302,0,0,0,0,0,0
FBgn0264725,7,0,0,26,6,16
FBgn0029117,920,926,732,631,773,800
FBgn0028429,3006,2410,2460,2838,3738,2847
FBgn0036298,4046,3434,3325,3344,4263,3334
FBgn0052483,1557,683,1419,519,448,845
FBgn0052289,0,0,0,0,0,1
FBti0062131,0,0,1,0,0,0
FBgn0287184,10444,8278,19994,12388,18610,18280
FBgn0083044,9,9,9,4,1,5
FBti0061537,0,0,0,0,1,2
FBgn0016031,10,8,16,25,12,19
FBgn0035553,3,8,17,27,24,20
FBgn0036366,1044,937,649,655,845,835
FBgn0052406,59,62,85,70,85,90
FBti0062048,38,7,37,25,27,20
FBgn0036250,0,0,4,5,0,1
FBgn0011361,6044,5267,5411,4428,6086,5174
FBgn0037068,0,2,0,2,0,1
FBti0020217,0,0,0,0,0,0
FBgn0264721,65,34,43,55,71,62
FBgn0035499,7921,7226,7612,7461,8463,8187
FBgn0035980,772,634,633,592,848,625
FBgn0035481,254,158,349,925,553,808
FBgn0036993,862,747,1367,1216,688,822
FBti0060959,0,0,0,0,0,0
FBti0020179,0,0,0,2,0,0
FBgn0264569,3,0,0,10,7,4
FBgn0035669,1,3,5,0,2,2
FBgn0052238,63,0,0,477,185,408
FBti0063245,0,0,0,0,0,0
FBgn0001228,7,4,1,49,17,40
FBgn0053230,784,700,714,682,956,661
FBgn0053287,54,0,0,713,222,514
FBgn0264310,10,4,5,46,29,56
FBti0061973,0,0,0,0,0,0
FBgn0026061,4113,2393,4020,5139,2932,3842
FBgn0035294,1541,1280,1110,1193,1531,1169
FBgn0085810,0,0,0,0,0,0
FBti0020115,0,0,0,0,0,1
FBti0060961,0,0,1,0,0,0
FBgn0052026,159,2,2,992,305,778
FBgn0035323,514,447,410,437,516,447
FBgn0023174,7293,6630,6264,5621,8531,6496
FBgn0035760,464,458,334,376,507,342
FBgn0286567,4526,3627,3359,3499,4272,3581
FBgn0040796,0,0,0,0,0,0
FBti0063439,2,1,0,0,0,2
FBgn0266596,6,2,5,12,7,11
FBgn0266941,1,1,2,2,0,8
FBti0059929,0,0,0,0,0,0
FBgn0035585,19,0,0,165,94,222
FBti0020053,3,2,1,2,1,1
FBgn0262894,7,0,0,21,6,7
FBgn0259203,2,2,1,0,0,2
FBgn0035786,0,0,0,0,0,0
FBgn0052365,1564,1195,1145,1121,2083,1000
FBgn0036880,18,18,28,13,13,32
FBgn0264472,8,1,0,28,24,26
FBgn0011986,0,0,0,0,0,0
FBgn0260388,1763,1139,1621,1653,1577,1762
FBti0060782,0,0,0,1,0,3
FBgn0263844,4,0,0,7,5,5
FBgn0266396,38,20,37,30,53,26
FBgn0266988,0,0,0,0,0,1
FBgn0267321,0,0,0,2,1,0
FBgn0004430,16,25,24,54,57,18
FBgn0037128,16,5,4,9,4,23
FBgn0035479,3,0,0,29,9,36
FBti0063027,0,0,0,0,0,0
FBgn0036783,238,229,388,258,310,363
FBti0020171,0,0,0,0,0,0
FBgn0086080,0,0,0,0,0,0
FBti0020176,0,0,0,0,0,0
FBti0020018,37,10,24,20,32,48
FBgn0044051,2,1,2,0,1,0
FBgn0035497,2434,1352,1478,7470,4216,6334
FBgn0036583,13,16,21,25,26,30
FBgn0036696,480,538,373,329,435,373
FBti0062639,0,0,0,0,0,0
FBgn0052188,1,0,2,0,0,0
FBgn0036745,817,866,794,798,942,904
FBti0061891,0,0,0,0,0,0
FBgn0036202,154,161,217,304,306,289
FBti0020215,0,0,0,0,0,0
FBgn0011706,51,8,14,25,29,17
FBgn0040814,11,0,0,156,42,131
FBgn0037036,51,0,0,103,54,152
FBgn0026570,1043,898,878,585,866,680
FBgn0266931,3,4,16,18,10,15
FBti0061922,0,0,0,0,0,0
FBgn0037180,0,0,0,0,0,0
FBgn0262854,9,2,6,2,8,10
FBgn0264484,0,0,0,0,0,0
FBti0063848,0,0,0,0,0,0
FBgn0266936,0,0,0,0,0,1
FBgn0035179,57,53,55,114,59,120
FBgn0035462,685,660,594,569,947,631
FBgn0036310,38,1,0,278,115,180
FBgn0004590,0,0,0,0,0,0
FBgn0036704,52,0,0,241,86,217
FBgn0053768,0,0,0,0,0,0
FBgn0036423,383,349,290,318,489,370
FBgn0036227,0,0,1,0,0,0
FBgn0035515,1407,1064,1208,1242,1370,1304
FBgn0263845,0,0,0,0,1,3
FBti0059882,1,0,0,4,0,0
FBgn0264480,14,0,0,22,14,25
FBgn0270926,4992,3867,5164,4426,3815,3876
RR48392_transposable_element,0,0,0,0,2,0
FBgn0015025,291,370,351,317,460,337
FBgn0259200,0,0,0,0,0,0
